question,answer,id
Which section implies the withdrawal of remaining charges on conviction on one of several charges?,Section 224,
What is section 225 about?,Section 225 is about the trial to be conducted by Public Prosecutor.,
Who is responsible for conducting the trial according to Section 225?,The Public Prosecutor is responsible for conducting the trial according to Section 225.,
What does section 226 state?,Section 226 talks about opening case for prosecution.,
Which section talks about opening case for prosecution?,Section 226 talks about opening case for prosecution.,
What is the purpose of section 227?,Section 227 deals with discharge.,
Which section deals with discharge?,Section 227 deals with discharge.,
What is defined in section 228?,Section 228 is about the framing of charge.,
Which section is about the framing of charge?,Section 228 is about the framing of charge.,
What does section 229 discuss?,Section 229 discusses conviction on plea of guilty.,
Which section discusses conviction on plea of guilty?,Section 229 discusses conviction on plea of guilty.,
What is the focus of section 230?,Section 230 sets the date for prosecution evidence.,
What does section 230 set the date for?,Section 230 sets the date for prosecution evidence.,
What does section 231 state?,Section 231 talks about evidence for prosecution.,
Which section talks about evidence for prosecution?,Section 231 talks about evidence for prosecution.,
What is detailed in section 232?,Section 232 details acquittal.,
Which section details acquittal?,Section 232 details acquittal.,
What does section 233 entail?,Section 233 is about entering upon defence.,
Which section is about entering upon defence?,Section 233 is about entering upon defence.,
What is section 234 about?,Section 234 is about arguments.,
Which section is about arguments?,Section 234 is about arguments.,
What does section 235 discuss?,Section 235 discusses judgment of acquittal or conviction.,
Which section discusses judgment of acquittal or conviction?,Section 235 discusses judgment of acquittal or conviction.,
What is the purpose of section 236?,Section 236 deals with previous conviction.,
